"Country" "Master.ID"
"388" "Ethiopia" "T_Mursi-2"
"389" "Chad" "T_Bulala-2"
"390" "Ethiopia" "T_Agaw-2"
"391" "China" "HGDP00775"
"392" "France" "HGDP00533"
"393" "Armenia" "S_Armenian-2"
"394" "India" "S_Mala-3"
"395" "Brunei" "Dusun22"
"396" "Russia" "Mansi79"
"397" "Canada" "NAD59"
"398" "Kenya" "NA21490"
"399" "Papua New Guinea" "HGDP00548"
"400" "China" "HGDP01333"
"401" "BotswanaOrNamibia" "HGDP01034"
"402" "Russia" "Nesk_22"
"403" "Yemen" "YemeniteJew4695"
"404" "USA" "S_Hawaiian-1"
"405" "Cameroon" "T_Bakola-2"
"406" "Kenya" "Ayodo_430C"
"407" "Turkey" "S_Turkish-2"
"408" "Cameroon" "T_Fulani-1"
"409" "Turkey" "S_Turkish-1"
"410" "Pakistan" "HG02790"
"411" "Nigeria" "HG02943"
"412" "Spain" "HG01504"
"413" "Cameroon" "T_Ngumba-1"
"414" "Kenya" "T_Rendille-1"
"415" "Tanzania" "T_Iraqw-2"
"416" "Iran" "iran11"
"417" "Papua New Guinea" "HGDP00549"
"418" "Cameroon" "S_Lemande-1"
"419" "Russia" "Ale22"
"420" "Cameroon" "S_Lemande-2"
"421" "Kenya" "HGDP01417"
"422" "Mexico" "S_Zapotec-2"
"423" "Greece" "NA17374"
"424" "South Africa" "S_Khomani_San-1"
"425" "Russia" "NorthOssetia12"
"426" "Mexico" "S_Mixe-2"
"427" "Jordan" "Jordan445"
"428" "Yemen" "YemeniteJew5433"
"429" "Nepal" "T_Tibetan-1"
"430" "United Kingdom" "HGDP00798"
"431" "China" "HGDP01191"
"432" "Mexico" "S_Mixtec-2"
"433" "France" "HGDP01364"
"434" "Pakistan" "HGDP00058"
"435" "Pakistan" "HGDP00160"
"436" "Japan" "HGDP00749"
"437" "China" "HGDP00785"
"438" "Pakistan" "HG02724"
"439" "Israel" "HGDP00722"
"440" "New Zealand" "S_Maori-1"
"441" "Norway" "S_Norwegian-1"
"442" "Russia" "Ul5"
"443" "Sierra Leone" "HG03078"
"444" "Gambia" "HG02464"
"445" "Western Sahara (Morocco)" "S_Saharawi-1"
"446" "Kyrgyzstan" "S_Kyrgyz-2"
"447" "Canada" "Cree5"
"448" "Georgia" "mg31"
"449" "Mexico" "S_Nahua-2"
"450" "Brazil" "HGDP00846"
"451" "Papua New Guinea" "HGDP00541"
"452" "Namibia" "HGDP01032"
"453" "India" "BR_Kashmiri_Pandit-1"
"454" "China" "HGDP01355"
"455" "Italy" "HGDP01078"
"456" "Pakistan" "HGDP00232"
"457" "Mexico" "S_Zapotec-1"
"458" "Russia" "ch113"
"459" "Russia" "S_Abkhasian-2"
"460" "China" "HGDP01250"
"461" "Kenya" "Ayodo_81S"
"462" "Iceland" "NA15761"
"463" "Gambia" "HG02574"
"464" "Sierra Leone" "HG03085"
"465" "Russia" "Ul31"
"466" "Finland" "S_Saami-1"
"467" "India" "S_Madiga-2"
"468" "Russia" "Tuba19"
"469" "United Kingdom" "HG00128"
"470" "Kenya" "NA19023"
"471" "Finland" "S_Saami-2"
"472" "China" "HGDP01314"
"473" "Israel" "S_Samaritan-1"
"474" "Israel" "HGDP00725"
"475" "Algeria" "HGDP01253"
"476" "Mexico" "HGDP00855"
"477" "Brazil" "HGDP01012"
"478" "China" "HGDP01240"
"479" "Israel" "HGDP00597"
"480" "Cambodia" "HGDP00717"
"481" "Central African Republic" "HGDP00457"
"482" "Hungary" "NA15202"
"483" "Cameroon" "T_Mada-2"
"484" "India" "S_Kapu-2"
"485" "Bulgaria" "BulgarianB4"
"486" "Myanmar" "Burm16"
"487" "Russia" "Ale32"
"488" "BotswanaOrNamibia" "HGDP01028"
"489" "China" "HGDP01320"
"490" "Mexico" "HGDP01047"
"491" "Tanzania" "T_Iraqw-1"
"492" "Kenya" "T_Rendille-2"
"493" "Cameroon" "T_Ngumba-2"
"494" "Mexico" "S_Mixe-3"
"495" "Russia" "NorthOssetia5"
"496" "Kenya" "HGDP01414"
"497" "Papua New Guinea" "HGDP00660"
"498" "Russia" "HGDP01401"
"499" "Italy" "HGDP01172"
"500" "China" "HGDP01323"
"501" "Colombia" "HGDP00706"
"502" "France" "HGDP00526"
"503" "Congo" "HGDP00476"
"504" "China" "HGDP01345"
"505" "Cameroon" "T_Bedzan-2"
"506" "Chad" "T_Laka-2"
"507" "Peru" "NA11200"
"508" "Cameroon" "T_Baka-2"
"509" "Algeria" "HGDP01274"
"510" "Israel" "HGDP00737"
"511" "Bulgaria" "BulgarianC1"
"512" "Nigeria" "HGDP00928"
"513" "Georgia" "mg27"
"514" "India" "S_Khonda_Dora-1"
"515" "India" "S_Mala-2"
"516" "Kenya" "T_Kikuyu-1"
"517" "Ethiopia" "T_Agaw-1"
"518" "Chad" "T_Bulala-1"
"519" "China" "HGDP01242"
"520" "Brazil" "HGDP01018"
"521" "Mexico" "HGDP00857"
"522" "China" "HGDP01338"
"523" "Papua New Guinea" "HGDP00554"
"524" "Papua New Guinea" "HGDP00543"
"525" "Kenya" "NA21581"
"526" "Papua New Guinea" "HGDP00547"
"527" "Russia" "S_Chukchi-1"
"528" "South Africa" "S_Khomani_San-2"
"529" "Japan" "S_Japanese-3"
"530" "Congo" "HGDP00474"
"531" "Papua New Guinea" "HGDP00555"
"532" "Mexico" "S_Mixtec-1"
"533" "Kenya" "T_Elmolo-1"
"534" "Kenya" "T_Sengwer-1"
"535" "India" "S_Brahmin-2"
"536" "Ethiopia" "T_Amhara-2"
"537" "China" "HGDP01246"
"538" "Russia" "Nlk18"
"539" "Western Sahara (Morocco)" "S_Saharawi-2"
"540" "Kyrgyzstan" "S_Kyrgyz-1"
"541" "Albania" "ALB212"
"542" "South Korea" "NA00726"
"543" "Cameroon" "T_Fulani-2"
"544" "Russia" "Altai"
"545" "Russia" "Denisova"
"546" "Luxembourg" "I0001"
"547" "Russia" "Ust_Ishim"
"548" "Croatia" "Vindija"
"549" "Russia" "Altai"
"550" "Russia" "Denisova"
"551" "Luxembourg" "I0001"
"552" "Germany" "I0018"
"553" "Russia" "Ust_Ishim"
"554" "Sudan" "DNK07"
"555" "Bangladesh" "HG03007"
"556" "Estonia" "Est375"
"557" "China" "HGDP01188"
"558" "Canada" "NAD93"
"559" "Russia" "lez49"
"560" "Nepal" "Kusunda02"
"561" "Russia" "Avar"
"562" "Brazil" "BI16"
"563" "Russia" "Bur1"
"564" "Russia" "Bur2"
"565" "Mexico" "HGDP00877"
"566" "Mexico" "HU103"
"567" "Russia" "Kor1"
"568" "Russia" "Kor2"
"569" "India" "Manny"
"570" "Russia" "Mari"
"571" "Peru" "TA6"
"572" "Tajikistan" "Tadjik"
"573" "Canada" "Tsimshian"
"574" "Venezuela" "Y2040"
"575" "Canada" "XVII-B-939"
"576" "Chile" "Chinchorroi15"
"577" "Brazil" "Enoque65"
"578" "Argentina" "Yaghan890"
"579" "Argentina" "Yaghan894"
"580" "Argentina" "Yaghan895"
"581" "Chile" "AM71"
"582" "Mexico" "BC23"
"583" "Mexico" "BC25"
"584" "Mexico" "BC27"
"585" "Mexico" "BC28"
"586" "Mexico" "BC29"
"587" "Mexico" "BC30"
"588" "Mexico" "F9"
"589" "Argentina" "MA572"
"590" "Argentina" "MA575"
"591" "Argentina" "MA577"
"592" "Mexico" "MOM6"
"593" "Chile" "AM66"
"594" "Chile" "AM72"
"595" "Chile" "AM73"
"596" "Chile" "AM74"
"597" "Canada" "MARC1492"
"598" "Tanzania" "I0589"
"599" "Tanzania" "I1048"
"600" "Malawi" "I2966"
"601" "Malawi" "I2967"
"602" "Turkey" "Bar31"
"603" "Turkey" "Bar8"
"604" "Greece" "Klei10"
"605" "Greece" "Pal7"
"606" "Greece" "Rev5"
"607" "Nepal" "M240"
"608" "Nepal" "M344"
"609" "Nepal" "S40"
"610" "Nepal" "C1"
"611" "Nepal" "M63"
"612" "Nepal" "S10"
"613" "Nepal" "S35"
"614" "Nepal" "S41"
"615" "Iran" "AH1"
"616" "Iran" "AH2"
"617" "Iran" "AH4"
"618" "Iran" "F38"
"619" "Iran" "WC1"
"620" "France" "BerryAuBac"
"621" "Belgium" "GoyetQ116-1"
"622" "Italy" "Paglicci108"
"623" "Belgium" "GoyetQ53-1"
"624" "Belgium" "GoyetQ56-16"
"625" "Italy" "Paglicci133"
"626" "France" "Rigney1"
"627" "Germany" "Burkhardtshohle"
"628" "France" "Rochedane"
"629" "France" "Iboussieres39"
"630" "United Kingdom" "I0156"
"631" "United Kingdom" "I0157"
"632" "United Kingdom" "I0159"
"633" "United Kingdom" "I0160"
"634" "United Kingdom" "I0161"
"635" "United Kingdom" "I0769"
"636" "United Kingdom" "I0773"
"637" "United Kingdom" "I0774"
"638" "United Kingdom" "I0777"
"639" "United Kingdom" "I0789"
"640" "Vanuatu" "I1368"
"641" "Vanuatu" "I1369"
"642" "Vanuatu" "I1370"
"643" "Iran" "I1661"
"644" "United Kingdom" "I2634"
"645" "United Kingdom" "I2636"
"646" "Germany" "Falkenstein"
"647" "Belgium" "GoyetQ-2"
"648" "France" "Iboussieres25-1"
"649" "France" "Iboussieres31-2"
"650" "France" "Rochedane"
"651" "France" "BerryAuBac"
"652" "Greece" "I0070"
"653" "Greece" "I0071"
"654" "Greece" "I0073"
"655" "Greece" "I0074"
"656" "Greece" "I9010"
"657" "Greece" "I9005"
"658" "Greece" "I9006"
"659" "Greece" "I9033"
"660" "Greece" "I9041"
"661" "Greece" "I9123"
"662" "Greece" "I9127"
"663" "Greece" "I9128"
"664" "Greece" "I9129"
"665" "Greece" "I9130"
"666" "Greece" "I9131"
"667" "Bulgaria" "ANI152"
"668" "Bulgaria" "ANI153"
"669" "Bulgaria" "ANI160"
"670" "Bulgaria" "ANI163"
"671" "Bulgaria" "I12835"
"672" "Bulgaria" "Bul4"
"673" "Bulgaria" "Bul6"
"674" "Bulgaria" "Bul8"
"675" "Tonga" "Sk10"
"676" "Bulgaria" "merge_ANI159_ANI181"
"677" "Luxembourg" "I0001"
